date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default
#date,#item+name,#item+unit,#item+type,#value,#currency,#country+name,#adm1+name,#adm1+code,#name+market,,#item+code,,,#item+type+code,#meta+id,
2015-09-15,Beans (white) - Retail,KG,pulses and nuts,180.0,DZD,Algeria,Alger,344,Algiers,1794,66,15,5,5,1794_66_15_5,
2015-10-15,Beans (white) - Retail,KG,pulses and nuts,180.0,DZD,Algeria,Alger,344,Algiers,1794,66,15,5,5,1794_66_15_5,
2015-11-15,Beans (white) - Retail,KG,pulses and nuts,160.0,DZD,Algeria,Alger,344,Algiers,1794,66,15,5,5,1794_66_15_5,
2015-12-15,Beans (white) - Retail,KG,pulses and nuts,160.0,DZD,Algeria,Alger,344,Algiers,1794,66,15,5,5,1794_66_15_5,
2016-01-15,Beans (white) - Retail,KG,pulses and nuts,150.0,DZD,Algeria,Alger,344,Algiers,1794,66,15,5,5,1794_66_15_5,
2016-02-15,Beans (white) - Retail,KG,pulses and nuts,190.0,DZD,Algeria,Alger,344,Algiers,1794,66,15,5,5,1794_66_15_5,
2016-03-15,Beans (white) - Retail,KG,pulses and nuts,160.0,DZD,Algeria,Alger,344,Algiers,1794,66,15,5,5,1794_66_15_5,
2016-07-15,Beans (white) - Retail,KG,pulses and nuts,170.0,DZD,Algeria,Alger,344,Algiers,1794,66,15,5,5,1794_66_15_5,
2016-08-15,Beans (white) - Retail,KG,pulses and nuts,205.0,DZD,Algeria,Alger,344,Algiers,1794,66,15,5,5,1794_66_15_5,
2016-09-15,Beans (white) - Retail,KG,pulses and nuts,190.0,DZD,Algeria,Alger,344,Algiers,1794,66,15,5,5,1794_66_15_5,
2016-10-15,Beans (white) - Retail,KG,pulses and nuts,180.0,DZD,Algeria,Alger,344,Algiers,1794,66,15,5,5,1794_66_15_5,
2015-04-15,Milk - Retail,L,milk and dairy,25.0,DZD,Algeria,Alger,344,Algiers,1794,81,15,15,3,1794_81_15_15,
2015-10-15,Milk - Retail,L,milk and dairy,25.0,DZD,Algeria,Alger,344,Algiers,1794,81,15,15,3,1794_81_15_15,
2015-11-15,Milk - Retail,L,milk and dairy,25.0,DZD,Algeria,Alger,344,Algiers,1794,81,15,15,3,1794_81_15_15,
2015-12-15,Milk - Retail,L,milk and dairy,25.0,DZD,Algeria,Alger,344,Algiers,1794,81,15,15,3,1794_81_15_15,
2016-01-15,Milk - Retail,L,milk and dairy,25.0,DZD,Algeria,Alger,344,Algiers,1794,81,15,15,3,1794_81_15_15,
2016-02-15,Milk - Retail,L,milk and dairy,25.0,DZD,Algeria,Alger,344,Algiers,1794,81,15,15,3,1794_81_15_15,
2016-03-15,Milk - Retail,L,milk and dairy,25.0,DZD,Algeria,Alger,344,Algiers,1794,81,15,15,3,1794_81_15_15,
2016-07-15,Milk - Retail,L,milk and dairy,25.0,DZD,Algeria,Alger,344,Algiers,1794,81,15,15,3,1794_81_15_15,
2016-08-15,Milk - Retail,L,milk and dairy,25.0,DZD,Algeria,Alger,344,Algiers,1794,81,15,15,3,1794_81_15_15,
2016-09-15,Milk - Retail,L,milk and dairy,25.0,DZD,Algeria,Alger,344,Algiers,1794,81,15,15,3,1794_81_15_15,
2016-10-15,Milk - Retail,L,milk and dairy,25.0,DZD,Algeria,Alger,344,Algiers,1794,81,15,15,3,1794_81_15_15,
2015-04-15,Potatoes - Retail,KG,cereals and tubers,80.0,DZD,Algeria,Alger,344,Algiers,1794,83,15,5,1,1794_83_15_5,
2015-05-15,Potatoes - Retail,KG,cereals and tubers,63.0,DZD,Algeria,Alger,344,Algiers,1794,83,15,5,1,1794_83_15_5,
2015-06-15,Potatoes - Retail,KG,cereals and tubers,50.0,DZD,Algeria,Alger,344,Algiers,1794,83,15,5,1,1794_83_15_5,
2015-07-15,Potatoes - Retail,KG,cereals and tubers,50.0,DZD,Algeria,Alger,344,Algiers,1794,83,15,5,1,1794_83_15_5,
2015-08-15,Potatoes - Retail,KG,cereals and tubers,40.0,DZD,Algeria,Alger,344,Algiers,1794,83,15,5,1,1794_83_15_5,
2015-09-15,Potatoes - Retail,KG,cereals and tubers,60.0,DZD,Algeria,Alger,344,Algiers,1794,83,15,5,1,1794_83_15_5,
2015-10-15,Potatoes - Retail,KG,cereals and tubers,50.0,DZD,Algeria,Alger,344,Algiers,1794,83,15,5,1,1794_83_15_5,
2015-11-15,Potatoes - Retail,KG,cereals and tubers,55.0,DZD,Algeria,Alger,344,Algiers,1794,83,15,5,1,1794_83_15_5,
2015-12-15,Potatoes - Retail,KG,cereals and tubers,48.0,DZD,Algeria,Alger,344,Algiers,1794,83,15,5,1,1794_83_15_5,
2016-01-15,Potatoes - Retail,KG,cereals and tubers,40.0,DZD,Algeria,Alger,344,Algiers,1794,83,15,5,1,1794_83_15_5,
2016-02-15,Potatoes - Retail,KG,cereals and tubers,33.0,DZD,Algeria,Alger,344,Algiers,1794,83,15,5,1,1794_83_15_5,
2016-03-15,Potatoes - Retail,KG,cereals and tubers,42.0,DZD,Algeria,Alger,344,Algiers,1794,83,15,5,1,1794_83_15_5,
2016-07-15,Potatoes - Retail,KG,cereals and tubers,45.0,DZD,Algeria,Alger,344,Algiers,1794,83,15,5,1,1794_83_15_5,
2016-08-15,Potatoes - Retail,KG,cereals and tubers,50.0,DZD,Algeria,Alger,344,Algiers,1794,83,15,5,1,1794_83_15_5,
2016-09-15,Potatoes - Retail,KG,cereals and tubers,50.0,DZD,Algeria,Alger,344,Algiers,1794,83,15,5,1,1794_83_15_5,
2016-10-15,Potatoes - Retail,KG,cereals and tubers,40.0,DZD,Algeria,Alger,344,Algiers,1794,83,15,5,1,1794_83_15_5,
2015-04-15,Eggs - Retail,30 pcs,"meat, fish and eggs",300.0,DZD,Algeria,Alger,344,Algiers,1794,92,15,69,2,1794_92_15_69,
2015-05-15,Eggs - Retail,30 pcs,"meat, fish and eggs",270.0,DZD,Algeria,Alger,344,Algiers,1794,92,15,69,2,1794_92_15_69,
2015-06-15,Eggs - Retail,30 pcs,"meat, fish and eggs",298.5,DZD,Algeria,Alger,344,Algiers,1794,92,15,69,2,1794_92_15_69,
2015-07-15,Eggs - Retail,30 pcs,"meat, fish and eggs",210.0,DZD,Algeria,Alger,344,Algiers,1794,92,15,69,2,1794_92_15_69,
2015-08-15,Eggs - Retail,30 pcs,"meat, fish and eggs",240.0,DZD,Algeria,Alger,344,Algiers,1794,92,15,69,2,1794_92_15_69,
2015-09-15,Eggs - Retail,30 pcs,"meat, fish and eggs",270.0,DZD,Algeria,Alger,344,Algiers,1794,92,15,69,2,1794_92_15_69,
2015-10-15,Eggs - Retail,30 pcs,"meat, fish and eggs",215.0,DZD,Algeria,Alger,344,Algiers,1794,92,15,69,2,1794_92_15_69,
2015-11-15,Eggs - Retail,30 pcs,"meat, fish and eggs",241.0,DZD,Algeria,Alger,344,Algiers,1794,92,15,69,2,1794_92_15_69,
2015-12-15,Eggs - Retail,30 pcs,"meat, fish and eggs",300.0,DZD,Algeria,Alger,344,Algiers,1794,92,15,69,2,1794_92_15_69,
2016-01-15,Eggs - Retail,30 pcs,"meat, fish and eggs",300.0,DZD,Algeria,Alger,344,Algiers,1794,92,15,69,2,1794_92_15_69,
2016-02-15,Eggs - Retail,30 pcs,"meat, fish and eggs",240.0,DZD,Algeria,Alger,344,Algiers,1794,92,15,69,2,1794_92_15_69,
2016-03-15,Eggs - Retail,30 pcs,"meat, fish and eggs",265.0,DZD,Algeria,Alger,344,Algiers,1794,92,15,69,2,1794_92_15_69,
2016-07-15,Eggs - Retail,30 pcs,"meat, fish and eggs",330.0,DZD,Algeria,Alger,344,Algiers,1794,92,15,69,2,1794_92_15_69,
2016-08-15,Eggs - Retail,30 pcs,"meat, fish and eggs",390.0,DZD,Algeria,Alger,344,Algiers,1794,92,15,69,2,1794_92_15_69,
2016-09-15,Eggs - Retail,30 pcs,"meat, fish and eggs",350.0,DZD,Algeria,Alger,344,Algiers,1794,92,15,69,2,1794_92_15_69,
2016-10-15,Eggs - Retail,30 pcs,"meat, fish and eggs",280.0,DZD,Algeria,Alger,344,Algiers,1794,92,15,69,2,1794_92_15_69,
2015-04-15,Meat (chicken) - Retail,KG,"meat, fish and eggs",277.0,DZD,Algeria,Alger,344,Algiers,1794,94,15,5,2,1794_94_15_5,
2015-05-15,Meat (chicken) - Retail,KG,"meat, fish and eggs",276.0,DZD,Algeria,Alger,344,Algiers,1794,94,15,5,2,1794_94_15_5,
2015-06-15,Meat (chicken) - Retail,KG,"meat, fish and eggs",298.0,DZD,Algeria,Alger,344,Algiers,1794,94,15,5,2,1794_94_15_5,
2015-07-15,Meat (chicken) - Retail,KG,"meat, fish and eggs",295.0,DZD,Algeria,Alger,344,Algiers,1794,94,15,5,2,1794_94_15_5,
2015-08-15,Meat (chicken) - Retail,KG,"meat, fish and eggs",360.0,DZD,Algeria,Alger,344,Algiers,1794,94,15,5,2,1794_94_15_5,
2015-09-15,Meat (chicken) - Retail,KG,"meat, fish and eggs",330.0,DZD,Algeria,Alger,344,Algiers,1794,94,15,5,2,1794_94_15_5,
2015-10-15,Meat (chicken) - Retail,KG,"meat, fish and eggs",330.0,DZD,Algeria,Alger,344,Algiers,1794,94,15,5,2,1794_94_15_5,
2015-11-15,Meat (chicken) - Retail,KG,"meat, fish and eggs",290.0,DZD,Algeria,Alger,344,Algiers,1794,94,15,5,2,1794_94_15_5,
2015-12-15,Meat (chicken) - Retail,KG,"meat, fish and eggs",348.0,DZD,Algeria,Alger,344,Algiers,1794,94,15,5,2,1794_94_15_5,
2016-01-15,Meat (chicken) - Retail,KG,"meat, fish and eggs",400.0,DZD,Algeria,Alger,344,Algiers,1794,94,15,5,2,1794_94_15_5,
2016-02-15,Meat (chicken) - Retail,KG,"meat, fish and eggs",280.0,DZD,Algeria,Alger,344,Algiers,1794,94,15,5,2,1794_94_15_5,
2016-03-15,Meat (chicken) - Retail,KG,"meat, fish and eggs",250.0,DZD,Algeria,Alger,344,Algiers,1794,94,15,5,2,1794_94_15_5,
2016-07-15,Meat (chicken) - Retail,KG,"meat, fish and eggs",260.0,DZD,Algeria,Alger,344,Algiers,1794,94,15,5,2,1794_94_15_5,
2016-08-15,Meat (chicken) - Retail,KG,"meat, fish and eggs",260.0,DZD,Algeria,Alger,344,Algiers,1794,94,15,5,2,1794_94_15_5,
2016-09-15,Meat (chicken) - Retail,KG,"meat, fish and eggs",260.0,DZD,Algeria,Alger,344,Algiers,1794,94,15,5,2,1794_94_15_5,
2016-10-15,Meat (chicken) - Retail,KG,"meat, fish and eggs",260.0,DZD,Algeria,Alger,344,Algiers,1794,94,15,5,2,1794_94_15_5,
2015-04-15,Sugar - Retail,KG,miscellaneous food,90.0,DZD,Algeria,Alger,344,Algiers,1794,97,15,5,7,1794_97_15_5,
2015-05-15,Sugar - Retail,KG,miscellaneous food,75.0,DZD,Algeria,Alger,344,Algiers,1794,97,15,5,7,1794_97_15_5,
2015-06-15,Sugar - Retail,KG,miscellaneous food,83.0,DZD,Algeria,Alger,344,Algiers,1794,97,15,5,7,1794_97_15_5,
2015-07-15,Sugar - Retail,KG,miscellaneous food,85.0,DZD,Algeria,Alger,344,Algiers,1794,97,15,5,7,1794_97_15_5,
2015-08-15,Sugar - Retail,KG,miscellaneous food,85.0,DZD,Algeria,Alger,344,Algiers,1794,97,15,5,7,1794_97_15_5,
2015-09-15,Sugar - Retail,KG,miscellaneous food,85.0,DZD,Algeria,Alger,344,Algiers,1794,97,15,5,7,1794_97_15_5,
2015-10-15,Sugar - Retail,KG,miscellaneous food,85.0,DZD,Algeria,Alger,344,Algiers,1794,97,15,5,7,1794_97_15_5,
2015-11-15,Sugar - Retail,KG,miscellaneous food,87.0,DZD,Algeria,Alger,344,Algiers,1794,97,15,5,7,1794_97_15_5,
2015-12-15,Sugar - Retail,KG,miscellaneous food,87.0,DZD,Algeria,Alger,344,Algiers,1794,97,15,5,7,1794_97_15_5,
2016-01-15,Sugar - Retail,KG,miscellaneous food,87.0,DZD,Algeria,Alger,344,Algiers,1794,97,15,5,7,1794_97_15_5,
2016-02-15,Sugar - Retail,KG,miscellaneous food,90.0,DZD,Algeria,Alger,344,Algiers,1794,97,15,5,7,1794_97_15_5,
2016-03-15,Sugar - Retail,KG,miscellaneous food,90.0,DZD,Algeria,Alger,344,Algiers,1794,97,15,5,7,1794_97_15_5,
2016-07-15,Sugar - Retail,KG,miscellaneous food,85.0,DZD,Algeria,Alger,344,Algiers,1794,97,15,5,7,1794_97_15_5,
2016-08-15,Sugar - Retail,KG,miscellaneous food,87.0,DZD,Algeria,Alger,344,Algiers,1794,97,15,5,7,1794_97_15_5,
